Event,TimeSinceStart,Days,Hours,Minutes,AvgPlantGrowth,SectionNumber,PlantType,NoOfSprinklers,NoOfHeaters,TempSensors,SoilSensors,HumiditySensor,WaterLevel,WaterNeed,SprinklerStatus,CurrentTempera,HeaterStatus,FertilizerLevel,LowDayLight,LowLightSeverity,PestAttack,PestSeverity,Power Failure,PowerOffTimeRemaining,Rain,RainTimeRemaining,WaterCutOff,WaterCutOffTimeRemaining
Section Created,1,0,0,1,1.00,1,Wheat,10,10,true,true,true,10.00,2.50,Off,50.00,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,180,0,3,0,1.12,1,Wheat,10,10,true,true,true,2.78,2.81,On,43.00,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned ON,180,0,3,0,1.12,1,Wheat,10,10,true,true,true,2.78,2.81,On,37.00,On,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Pumps Suck Excess Water,195,0,3,15,1.19,1,Wheat,10,10,true,true,true,35.62,2.97,On,38.12,On,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,195,0,3,15,1.19,1,Wheat,10,10,true,true,true,35.62,2.97,Off,38.12,On,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned OFF,660,0,11,0,1.62,1,Wheat,10,10,true,true,true,8.57,4.06,Off,72.24,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,735,0,12,15,1.75,1,Wheat,10,10,true,true,true,3.40,4.38,On,75.24,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Pumps Suck Excess Water,750,0,12,30,1.75,1,Wheat,10,10,true,true,true,52.50,4.38,On,75.24,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,750,0,12,30,1.75,1,Wheat,10,10,true,true,true,52.50,4.38,Off,75.24,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,1320,0,22,0,2.31,1,Wheat,10,10,true,true,true,4.35,5.78,On,65.24,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,1335,0,22,15,2.38,1,Wheat,10,10,true,true,true,127.91,5.94,Off,57.24,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
New Day,1440,1,0,0,2.50,1,Wheat,10,10,true,true,true,117.40,6.25,Off,48.24,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
No Random Event Happened,1440,1,0,0,2.50,1,Wheat,10,10,true,true,true,117.40,6.25,Off,48.24,Off,470.00,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned ON,1620,1,3,0,2.62,1,Wheat,10,10,true,true,true,98.30,6.56,Off,36.24,On,470.00,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned OFF,2040,1,10,0,3.06,1,Wheat,10,10,true,true,true,48.39,7.66,Off,71.76,Off,470.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,2355,1,15,15,3.44,1,Wheat,10,10,true,true,true,6.39,8.59,On,82.76,Off,470.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,2370,1,15,30,3.44,1,Wheat,10,10,true,true,true,129.24,8.59,Off,82.76,Off,470.00,false,0.0,false,0.0,false,0,false,0,false,0,
New Day,2880,2,0,0,4.00,1,Wheat,10,10,true,true,true,51.04,10.00,Off,51.76,Off,470.00,false,0.0,false,0.0,false,0,false,0,false,0,
No Random Event Happened,2880,2,0,0,4.00,1,Wheat,10,10,true,true,true,51.04,10.00,Off,51.76,Off,422.00,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned ON,3060,2,3,0,4.12,1,Wheat,10,10,true,true,true,20.86,10.31,Off,33.76,On,422.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,3120,2,4,0,4.19,1,Wheat,10,10,true,true,true,10.43,10.47,On,38.56,On,422.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,3135,2,4,15,4.25,1,Wheat,10,10,true,true,true,132.81,10.62,Off,32.76,On,422.00,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned OFF,3600,2,12,0,4.69,1,Wheat,10,10,true,true,true,46.91,11.72,Off,74.72,Off,422.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,3780,2,15,0,4.88,1,Wheat,10,10,true,true,true,11.53,12.19,On,82.72,Off,422.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,3795,2,15,15,4.94,1,Wheat,10,10,true,true,true,133.48,12.34,Off,85.72,Off,422.00,false,0.0,false,0.0,false,0,false,0,false,0,
New Day,4320,3,0,0,5.50,1,Wheat,10,10,true,true,true,20.81,13.75,Off,46.72,Off,422.00,false,0.0,false,0.0,false,0,false,0,false,0,
Pest Attacks,4320,3,0,0,5.50,1,Wheat,10,10,true,true,true,20.81,13.75,Off,46.72,Off,356.00,false,0.0,true,76.0,false,0,false,0,false,0,
Fertilizers Balanced,4320,3,0,0,5.50,1,Wheat,10,10,true,true,true,20.81,13.75,Off,46.72,Off,178.75,false,0.0,true,76.0,false,0,false,0,false,0,
Sprinklers turned ON,4365,3,0,45,5.50,1,Wheat,10,10,true,true,true,10.53,13.75,On,46.72,Off,178.75,false,0.0,true,76.0,false,0,false,0,false,0,
Sprinklers turned OFF,4380,3,1,0,5.50,1,Wheat,10,10,true,true,true,132.10,13.75,Off,46.72,Off,178.75,false,0.0,true,76.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,4380,3,1,0,5.50,1,Wheat,10,10,true,true,true,132.10,13.75,Off,43.72,Off,178.75,false,0.0,true,75.0,false,0,false,0,false,0,
Heaters turned ON,4440,3,2,0,5.55,1,Wheat,10,10,true,true,true,118.49,13.87,Off,39.72,On,178.75,false,0.0,true,75.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,4440,3,2,0,5.55,1,Wheat,10,10,true,true,true,118.49,13.87,Off,39.72,On,178.75,false,0.0,true,74.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,4500,3,3,0,5.60,1,Wheat,10,10,true,true,true,104.53,13.99,Off,36.52,On,178.75,false,0.0,true,73.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,4560,3,4,0,5.64,1,Wheat,10,10,true,true,true,90.69,14.11,Off,35.24,On,178.75,false,0.0,true,72.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,4620,3,5,0,5.69,1,Wheat,10,10,true,true,true,76.49,14.23,Off,35.04,On,178.75,false,0.0,true,71.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,4680,3,6,0,5.74,1,Wheat,10,10,true,true,true,62.65,14.35,Off,34.68,On,178.75,false,0.0,true,70.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,4740,3,7,0,5.79,1,Wheat,10,10,true,true,true,48.21,14.47,Off,41.48,On,178.75,false,0.0,true,69.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,4800,3,8,0,5.84,1,Wheat,10,10,true,true,true,33.65,14.59,Off,50.28,On,178.75,false,0.0,true,68.0,false,0,false,0,false,0,
Plant Growth Slows due to Pest Attack,4860,3,9,0,5.88,1,Wheat,10,10,true,true,true,18.97,14.71,Off,60.08,On,178.75,false,0.0,true,67.0,false,0,false,0,false,0,
Sprinklers turned ON,4890,3,9,30,5.93,1,Wheat,10,10,true,true,true,11.59,14.83,On,62.48,On,178.75,false,0.0,true,67.0,false,0,false,0,false,0,
