Event,TimeSinceStart,Days,Hours,Minutes,AvgPlantGrowth,SectionNumber,PlantType,NoOfSprinklers,NoOfHeaters,TempSensors,SoilSensors,HumiditySensor,WaterLevel,WaterNeed,SprinklerStatus,CurrentTempera,HeaterStatus,FertilizerLevel,LowDayLight,LowLightSeverity,PestAttack,PestSeverity,Power Failure,PowerOffTimeRemaining,Rain,RainTimeRemaining,WaterCutOff,WaterCutOffTimeRemaining
Section Created,1,0,0,1,1.00,6,Wheat,10,10,true,true,true,10.00,2.50,Off,50.00,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned ON,120,0,2,0,1.06,6,Wheat,10,10,true,true,true,5.51,2.66,Off,37.00,On,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,180,0,3,0,1.12,6,Wheat,10,10,true,true,true,2.73,2.81,On,41.80,On,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Pumps Suck Excess Water,195,0,3,15,1.19,6,Wheat,10,10,true,true,true,35.62,2.97,On,39.92,On,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,195,0,3,15,1.19,6,Wheat,10,10,true,true,true,35.62,2.97,Off,39.92,On,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned OFF,660,0,11,0,1.62,6,Wheat,10,10,true,true,true,8.64,4.06,Off,70.96,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,735,0,12,15,1.75,6,Wheat,10,10,true,true,true,3.47,4.38,On,73.96,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Pumps Suck Excess Water,750,0,12,30,1.75,6,Wheat,10,10,true,true,true,52.50,4.38,On,73.96,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,750,0,12,30,1.75,6,Wheat,10,10,true,true,true,52.50,4.38,Off,73.96,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,1320,0,22,0,2.31,6,Wheat,10,10,true,true,true,4.41,5.78,On,56.96,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,1335,0,22,15,2.38,6,Wheat,10,10,true,true,true,127.97,5.94,Off,49.96,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned ON,1440,1,0,0,2.44,6,Wheat,10,10,true,true,true,117.56,6.09,Off,37.96,On,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
New Day,1440,1,0,0,2.50,6,Wheat,10,10,true,true,true,117.56,6.25,Off,37.96,On,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Rain Starts,1440,1,0,0,2.50,6,Wheat,10,10,true,true,true,117.56,6.25,Off,37.96,On,470.00,false,0.0,false,0.0,false,0,true,5,false,0,
Pumps Suck Excess Water,1575,1,2,15,2.62,6,Wheat,10,10,true,true,true,78.75,6.56,Off,42.60,On,470.00,false,0.0,false,0.0,false,0,true,3,false,0,
Pumps Suck Excess Water,1755,1,5,15,2.81,6,Wheat,10,10,true,true,true,84.38,7.03,Off,40.00,On,470.00,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned OFF,2160,1,12,0,3.19,6,Wheat,10,10,true,true,true,33.87,7.97,Off,77.40,Off,470.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,2355,1,15,15,3.44,6,Wheat,10,10,true,true,true,7.31,8.59,On,85.40,Off,470.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,2370,1,15,30,3.44,6,Wheat,10,10,true,true,true,130.16,8.59,Off,85.40,Off,470.00,false,0.0,false,0.0,false,0,false,0,false,0,
New Day,2880,2,0,0,4.00,6,Wheat,10,10,true,true,true,52.11,10.00,Off,64.40,Off,470.00,false,0.0,false,0.0,false,0,false,0,false,0,
No Random Event,2880,2,0,0,4.00,6,Wheat,10,10,true,true,true,52.11,10.00,Off,64.40,Off,422.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,3135,2,4,15,4.25,6,Wheat,10,10,true,true,true,9.05,10.62,On,41.40,Off,422.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,3150,2,4,30,4.25,6,Wheat,10,10,true,true,true,131.39,10.62,Off,41.40,Off,422.00,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned ON,3180,2,5,0,4.25,6,Wheat,10,10,true,true,true,126.08,10.62,Off,38.40,On,422.00,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned OFF,3540,2,11,0,4.62,6,Wheat,10,10,true,true,true,59.47,11.56,Off,75.12,Off,422.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,3780,2,15,0,4.88,6,Wheat,10,10,true,true,true,11.81,12.19,On,81.12,Off,422.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,3795,2,15,15,4.94,6,Wheat,10,10,true,true,true,133.77,12.34,Off,84.12,Off,422.00,false,0.0,false,0.0,false,0,false,0,false,0,
New Day,4320,3,0,0,5.50,6,Wheat,10,10,true,true,true,21.08,13.75,Off,59.12,Off,422.00,false,0.0,false,0.0,false,0,false,0,false,0,
No Random Event Happened,4320,3,0,0,5.50,6,Wheat,10,10,true,true,true,21.08,13.75,Off,59.12,Off,356.00,false,0.0,false,0.0,false,0,false,0,false,0,
Fertilizers Balanced,4320,3,0,0,5.50,6,Wheat,10,10,true,true,true,21.08,13.75,Off,59.12,Off,178.75,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,4365,3,0,45,5.50,6,Wheat,10,10,true,true,true,10.80,13.75,On,59.12,Off,178.75,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,4380,3,1,0,5.50,6,Wheat,10,10,true,true,true,132.36,13.75,Off,59.12,Off,178.75,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned ON,4560,3,4,0,5.69,6,Wheat,10,10,true,true,true,90.29,14.22,Off,32.12,On,178.75,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,4875,3,9,15,6.06,6,Wheat,10,10,true,true,true,14.03,15.16,On,59.08,On,178.75,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,4890,3,9,30,6.06,6,Wheat,10,10,true,true,true,135.24,15.16,Off,60.28,On,178.75,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned OFF,4980,3,11,0,6.12,6,Wheat,10,10,true,true,true,112.64,15.31,Off,76.40,Off,178.75,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,5355,3,17,15,6.56,6,Wheat,10,10,true,true,true,15.52,16.41,On,95.40,Off,178.75,false,0.0,false,0.0,false,0,false,0,false,0,
