Event,TimeSinceStart,Days,Hours,Minutes,AvgPlantGrowth,SectionNumber,PlantType,NoOfSprinklers,NoOfHeaters,TempSensors,SoilSensors,HumiditySensor,WaterLevel,WaterNeed,SprinklerStatus,CurrentTempera,HeaterStatus,FertilizerLevel,LowDayLight,LowLightSeverity,PestAttack,PestSeverity,Power Failure,PowerOffTimeRemaining,Rain,RainTimeRemaining,WaterCutOff,WaterCutOffTimeRemaining
Section Created,1,0,0,1,1.00,5,Wheat,10,10,true,true,true,10.00,2.50,Off,50.00,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,180,0,3,0,1.12,5,Wheat,10,10,true,true,true,2.78,2.81,On,42.00,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned ON,180,0,3,0,1.12,5,Wheat,10,10,true,true,true,2.78,2.81,On,39.00,On,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Pumps Suck Excess Water,195,0,3,15,1.19,5,Wheat,10,10,true,true,true,35.62,2.97,On,40.20,On,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,195,0,3,15,1.19,5,Wheat,10,10,true,true,true,35.62,2.97,Off,40.20,On,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned OFF,660,0,11,0,1.62,5,Wheat,10,10,true,true,true,8.69,4.06,Off,75.16,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,735,0,12,15,1.75,5,Wheat,10,10,true,true,true,3.46,4.38,On,78.16,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Pumps Suck Excess Water,750,0,12,30,1.75,5,Wheat,10,10,true,true,true,52.50,4.38,On,78.16,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,750,0,12,30,1.75,5,Wheat,10,10,true,true,true,52.50,4.38,Off,78.16,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,1320,0,22,0,2.31,5,Wheat,10,10,true,true,true,4.35,5.78,On,70.16,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,1335,0,22,15,2.38,5,Wheat,10,10,true,true,true,127.91,5.94,Off,65.16,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
New Day,1440,1,0,0,2.50,5,Wheat,10,10,true,true,true,117.50,6.25,Off,50.16,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
No Random Event Happened,1440,1,0,0,2.50,5,Wheat,10,10,true,true,true,117.50,6.25,Off,50.16,Off,470.00,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned ON,1620,1,3,0,2.62,5,Wheat,10,10,true,true,true,98.51,6.56,Off,34.16,On,470.00,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned OFF,2100,1,11,0,3.12,5,Wheat,10,10,true,true,true,40.93,7.81,Off,70.40,Off,470.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,2355,1,15,15,3.44,5,Wheat,10,10,true,true,true,6.58,8.59,On,81.40,Off,470.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,2370,1,15,30,3.44,5,Wheat,10,10,true,true,true,129.43,8.59,Off,81.40,Off,470.00,false,0.0,false,0.0,false,0,false,0,false,0,
New Day,2880,2,0,0,4.00,5,Wheat,10,10,true,true,true,51.07,10.00,Off,49.40,Off,470.00,false,0.0,false,0.0,false,0,false,0,false,0,
